((9, 40), 22, 40, 0)
((0, 22), 22, 22, 1)
((31, 40), 22, 40, 2)
((56, 0), 22, 0, 3)
((88, 81), 81, 81, 4)
((88, 81), 81, 81, 5)
((97, 88), 97, 88, 6)
((81, 97), 97, 97, 7)
((94, 97), 97, 97, 8)
((88, 97), 97, 97, 9)
((88, 97), 97, 97, 10)
((94, 97), 97, 97, 11)
((81, 97), 97, 97, 12)
((76, 101), 76, 101, 13)
((76, 101), 76, 101, 14)
((76, 97), 76, 97, 15)
((76, 88), 76, 88, 16)
((101, 88), 76, 88, 17)
((75, 88), 76, 88, 18)
((88, 76), 76, 76, 19)
((76, 88), 76, 88, 20)
((101, 76), 76, 76, 21)
((101, 76), 76, 76, 22)
((81, 97), 81, 97, 23)
((97, 88), 88, 88, 24)
((11, 6), 11, 6, 25)
((88, 75), 75, 75, 26)
((88, 81), 81, 81, 27)
((101, 97), 97, 97, 28)
((111, 97), 97, 97, 29)
((97, 88), 97, 88, 30)
((88, 97), 97, 97, 31)
((88, 97), 97, 97, 32)
((81, 97), 97, 97, 33)
((88, 97), 97, 97, 34)
((76, 22), 9, 22, 35)
((81, 88), 81, 88, 36)
((94, 97), 81, 97, 37)
((76, 22), 22, 22, 38)
((54, 6), 22, 6, 39)
((22, 54), 22, 54, 40)
((94, 97), 97, 97, 41)
((88, 97), 97, 97, 42)
((23, 80), 79, 80, 43)
((111, 97), 79, 97, 44)
((97, 130), 81, 130, 45)
((103, 101), 101, 101, 46)
((58, 130), 130, 130, 47)
((81, 130), 130, 130, 48)
((76, 81), 81, 81, 49)
((94, 97), 88, 97, 50)
((88, 97), 88, 97, 51)
((88, 76), 88, 76, 52)
((11, 30), 11, 30, 53)
((130, 97), 130, 97, 54)
((17, 71), 32, 71, 55)
((74, 42), 42, 42, 56)
((97, 94), 108, 94, 57)
((68, 46), 58, 46, 58)
((67, 3), 3, 3, 59)
((11, 46), 46, 46, 60)
((26, 46), 46, 46, 61)
((67, 46), 46, 46, 62)
((27, 58), 58, 58, 63)
((143, 58), 58, 58, 64)
((11, 46), 46, 46, 65)
((94, 81), 81, 81, 66)
((94, 81), 81, 81, 67)
((94, 81), 81, 81, 68)
((9, 40), 40, 40, 69)
((75, 88), 88, 88, 70)
((88, 76), 88, 76, 71)
((101, 88), 88, 88, 72)
((88, 101), 88, 101, 73)
((88, 101), 88, 101, 74)
((59, 42), 42, 42, 75)
((76, 88), 76, 88, 76)
((76, 89), 76, 89, 77)
((75, 88), 88, 88, 78)
((88, 101), 88, 101, 79)
((75, 88), 75, 88, 80)
((88, 101), 76, 101, 81)
((76, 97), 76, 97, 82)
((97, 88), 76, 88, 83)
((6, 76), 76, 76, 84)
((97, 76), 76, 76, 85)
((6, 56), 56, 56, 86)
((54, 42), 42, 42, 87)
((6, 42), 42, 42, 88)
((24, 46), 11, 46, 89)
((97, 88), 88, 88, 90)
((101, 88), 88, 88, 91)
((101, 88), 88, 88, 92)
((97, 88), 88, 88, 93)
((0, 56), 88, 56, 94)
((101, 88), 88, 88, 95)
((101, 88), 88, 88, 96)
((76, 88), 88, 88, 97)
((101, 88), 88, 88, 98)
((17, 42), 42, 42, 99)
((11, 6), 6, 6, 100)
((11, 56), 6, 56, 101)
((6, 76), 6, 76, 102)
((97, 42), 42, 42, 103)
((76, 88), 86, 88, 104)
((97, 88), 86, 88, 105)
((75, 88), 75, 88, 106)
((88, 75), 75, 75, 107)
((75, 88), 88, 88, 108)
((0, 56), 0, 56, 109)
((75, 88), 88, 88, 110)
((75, 88), 88, 88, 111)
((6, 42), 42, 42, 112)
((6, 42), 42, 42, 113)
((55, 42), 42, 42, 114)
((86, 88), 88, 88, 115)
((75, 88), 88, 88, 116)
((86, 88), 88, 88, 117)
((76, 88), 88, 88, 118)
((35, 74), 74, 74, 119)
((18, 74), 74, 74, 120)
((0, 74), 74, 74, 121)
((19, 80), 80, 80, 122)
((91, 82), 91, 82, 123)
((80, 19), 91, 19, 124)
((42, 97), 6, 97, 125)
((3, 97), 6, 97, 126)
((54, 42), 6, 42, 127)
((42, 59), 42, 59, 128)
((101, 76), 76, 76, 129)
((81, 88), 94, 88, 130)
((76, 89), 76, 89, 131)
((26, 35), 20, 35, 132)
((81, 47), 47, 47, 133)
((101, 76), 76, 76, 134)
((101, 76), 76, 76, 135)
((88, 76), 76, 76, 136)
((76, 88), 88, 88, 137)
((88, 75), 80, 75, 138)
((80, 79), 80, 79, 139)
((80, 79), 80, 79, 140)
((80, 97), 80, 97, 141)
((19, 82), 80, 82, 142)
((76, 88), 88, 88, 143)
((101, 76), 76, 76, 144)
((76, 88), 88, 88, 145)
((97, 88), 88, 88, 146)
((101, 88), 88, 88, 147)
((101, 88), 88, 88, 148)
((101, 88), 88, 88, 149)
((101, 88), 88, 88, 150)
((101, 88), 88, 88, 151)
((101, 88), 88, 88, 152)
((24, 46), 46, 46, 153)
((6, 56), 56, 56, 154)
((81, 76), 24, 76, 155)
((46, 14), 24, 14, 156)
((62, 24), 24, 24, 157)
((25, 46), 54, 46, 158)
((75, 88), 86, 88, 159)
((6, 17), 17, 17, 160)
((85, 82), 82, 82, 161)
((85, 82), 82, 82, 162)
((75, 88), 82, 88, 163)
((6, 76), 76, 76, 164)
((101, 76), 76, 76, 165)
((101, 76), 76, 76, 166)
((101, 76), 76, 76, 167)
((76, 88), 88, 88, 168)
((67, 46), 10, 46, 169)
((10, 67), 10, 67, 170)
((10, 67), 10, 67, 171)
((53, 67), 10, 67, 172)
((10, 67), 10, 67, 173)
((46, 67), 10, 67, 174)
((6, 42), 5, 42, 175)
((59, 67), 67, 67, 176)
((101, 76), 76, 76, 177)
((76, 6), 76, 6, 178)
((101, 76), 76, 76, 179)
((11, 46), 10, 46, 180)
((6, 11), 6, 11, 181)
((11, 6), 6, 6, 182)
((8, 6), 6, 6, 183)
((11, 6), 6, 6, 184)
((75, 88), 88, 88, 185)
((81, 88), 75, 88, 186)
((76, 88), 88, 88, 187)
((76, 88), 88, 88, 188)
((55, 42), 42, 42, 189)
((75, 88), 88, 88, 190)
((76, 88), 88, 88, 191)
((76, 88), 88, 88, 192)
((46, 11), 11, 11, 193)
((75, 88), 80, 88, 194)
((62, 24), 11, 24, 195)
((75, 88), 88, 88, 196)
((10, 63), 25, 63, 197)
((45, 58), 57, 58, 198)
((111, 97), 97, 97, 199)
((88, 76), 76, 76, 200)
((101, 76), 76, 76, 201)
((76, 88), 76, 88, 202)
((101, 76), 76, 76, 203)
((101, 76), 76, 76, 204)
((101, 76), 76, 76, 205)
((76, 88), 76, 88, 206)
((75, 88), 88, 88, 207)
((88, 75), 75, 75, 208)
((88, 75), 75, 75, 209)
((101, 76), 79, 76, 210)
((79, 80), 79, 80, 211)
((54, 76), 54, 76, 212)
((89, 76), 76, 76, 213)
((101, 76), 76, 76, 214)
((75, 88), 75, 88, 215)
((75, 88), 88, 88, 216)
((24, 67), 46, 67, 217)
((18, 74), 74, 74, 218)
((11, 46), 6, 46, 219)
((11, 6), 6, 6, 220)
((75, 42), 15, 42, 221)
((101, 88), 86, 88, 222)
((97, 76), 19, 76, 223)
((5, 42), 42, 42, 224)
((88, 101), 88, 101, 225)
((103, 101), 88, 101, 226)
((6, 42), 42, 42, 227)
((0, 56), 56, 56, 228)
((6, 42), 42, 42, 229)
((42, 143), 42, 143, 230)
((42, 6), 42, 6, 231)
((101, 76), 86, 76, 232)
((101, 76), 76, 76, 233)
((101, 76), 76, 76, 234)
((81, 76), 76, 76, 235)
((6, 76), 76, 76, 236)
((88, 76), 76, 76, 237)
((101, 76), 76, 76, 238)
((81, 76), 76, 76, 239)
((101, 76), 76, 76, 240)
((88, 76), 76, 76, 241)
((88, 76), 76, 76, 242)
((56, 9), 9, 9, 243)
((11, 46), 6, 46, 244)
((143, 58), 134, 58, 245)
((75, 88), 88, 88, 246)
((81, 88), 88, 88, 247)
((75, 88), 86, 88, 248)
((76, 88), 88, 88, 249)
((101, 88), 88, 88, 250)
((75, 88), 88, 88, 251)
((75, 88), 75, 88, 252)
((75, 88), 75, 88, 253)
((75, 88), 75, 88, 254)
((75, 88), 75, 88, 255)
((76, 97), 97, 97, 256)
((88, 76), 76, 76, 257)
((67, 46), 46, 46, 258)
((24, 46), 46, 46, 259)
((46, 53), 17, 53, 260)
((10, 42), 42, 42, 261)
((71, 10), 10, 10, 262)
((75, 88), 88, 88, 263)
((76, 54), 54, 54, 264)
((54, 76), 54, 76, 265)
((76, 54), 54, 54, 266)
((54, 76), 54, 76, 267)
((75, 88), 88, 88, 268)
((75, 88), 88, 88, 269)
((0, 56), 6, 56, 270)
((54, 76), 76, 76, 271)
((97, 94), 94, 94, 272)
((97, 94), 94, 94, 273)
((97, 88), 88, 88, 274)
((55, 42), 42, 42, 275)
((59, 42), 42, 42, 276)
((143, 42), 42, 42, 277)
((101, 40), 76, 40, 278)
((103, 101), 76, 101, 279)
((57, 42), 55, 42, 280)
((89, 76), 77, 76, 281)
((97, 88), 77, 88, 282)
((101, 76), 77, 76, 283)
((101, 76), 77, 76, 284)
((101, 97), 77, 97, 285)
((75, 88), 88, 88, 286)
((75, 88), 88, 88, 287)
((76, 88), 88, 88, 288)
