PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	FUJITA, Y				FUJITA, Y			CAROTENOID PHOTOBLEACHING INDUCED BY PHOTOSYSTEM-II ACTION IN MEMBRANE FRAGMENTS OF BLUE-GREEN-ALGA ANABAENA-VARIABILIS - ACTION OF O2	PLANT AND CELL PHYSIOLOGY			English	Article										FUJITA, Y (reprint author), UNIV TOKYO,OCEAN RES INST,NAKANO,TOKYO 164,JAPAN.						FOOTE CS, 1968, SCIENCE, V162, P963, DOI 10.1126/science.162.3857.963; MacKinney G, 1941, J BIOL CHEM, V140, P315; ASADA K, 1974, J BIOL CHEM, V249, P2175; BENHAYYIM B, 1972, 2ND P INT C PHOT RES, P61; ELSTNER EF, 1973, BIOCHIM BIOPHYS ACTA, V314, P340, DOI 10.1016/0005-2728(73)90118-7; EPEL BL, 1973, BIOCHIM BIOPHYS ACTA, V325, P520, DOI 10.1016/0005-2728(73)90211-9; FUJITA Y, 1973, PLANT CELL PHYSIOL, V14, P261; FUJITA Y, 1971, PLANT CELL PHYSIOL, V12, P641; FUJITA Y, 1975, PLANT CELL PHYSIOL, V16, P1037; GIRAULT G, 1974, BIOCHIM BIOPHYS ACTA, V333, P314, DOI 10.1016/0005-2728(74)90014-0; KATOH S, 1970, ARCH BIOCHEM BIOPHYS, V141, P207, DOI 10.1016/0003-9861(70)90124-4; KIMIMURA M, 1971, BIOCHIM BIOPHYS ACTA, V234, P92, DOI 10.1016/0005-2728(71)90134-4; MATHEWSR.MM, 1974, PHOTOCHEM PHOTOBIOL, V19, P217, DOI 10.1111/j.1751-1097.1974.tb06501.x; SUZUKI R, 1977, PLANT CELL PHYSIOL, V18, P625; TAKAHAMA U, 1975, PLANT CELL PHYSIOL, V16, P737; TAKAHAMA U, 1974, PLANT CELL PHYSIOL, V15, P971; TAKAHAMA U, 1976, PLANT CELL PHYSIOL, V17, P111; YAMASHIT.K, 1969, BIOCHIM BIOPHYS ACTA, V172, P511, DOI 10.1016/0005-2728(69)90147-9; YAMASHIT.T, 1969, PLANT PHYSIOL, V44, P1342, DOI 10.1104/pp.44.9.1342; ZILINSKAS BA, 1975, BIOCHIM BIOPHYS ACTA, V387, P306, DOI 10.1016/0005-2728(75)90112-7	20	5	5	JAPANESE SOC PLANT PHYSIOLOGISTS	KYOTO	SHIMOTACHIURI OGAWA HIGASHI KAMIKYOKU, KYOTO 602, JAPAN	0032-0781			PLANT CELL PHYSIOL	Plant Cell Physiol.		1978	19	7					1129	1136				8	Plant Sciences; Cell Biology	Plant Sciences; Cell Biology	FW679	WOS:A1978FW67900003		
J	WATANABE, N; YOKOTA, T; TAKAHASHI, N				WATANABE, N; YOKOTA, T; TAKAHASHI, N			IDENTIFICATION OF N6-(3-METHYL-BUT-2-ENYL)ADENOSINE, ZEATIN, ZEATIN RIBOSIDE, GIBBERELLIN-A19 AND ABSCISIC-ACID IN SHOOTS OF HOP PLANT	PLANT AND CELL PHYSIOLOGY			English	Article										WATANABE, N (reprint author), UNIV TOKYO, DEPT AGR CHEM, BUNKYO KU, TOKYO 113, JAPAN.						SYONO K, 1976, PLANT PHYSIOL, V57, P602, DOI 10.1104/pp.57.4.602; TAYA Y, 1978, NATURE, V271, P545, DOI 10.1038/271545a0; VREMAN HJ, 1972, PLANT PHYSIOL, V49, P848, DOI 10.1104/pp.49.5.848; CHEN CM, 1969, PHYTOCHEMISTRY, V8, P1687, DOI 10.1016/S0031-9422(00)85955-5; ARMSTRON.DJ, 1969, BIOCHEM BIOPH RES CO, V37, P451, DOI 10.1016/0006-291X(69)90936-X; BIDDINGT.NL, 1973, PLANTA, V111, P183, DOI 10.1007/BF00386279; BURROWS WJ, 1978, PLANTA, V138, P53, DOI 10.1007/BF00392914; CHEN CN, 1976, FEBS LETT, V64, P429, DOI 10.1016/0014-5793(76)80343-2; DYSON WH, 1972, PLANT PHYSIOL, V50, P616, DOI 10.1104/pp.50.5.616; GLENN JL, 1972, PHYTOCHEMISTRY, V11, P345, DOI 10.1016/S0031-9422(00)90013-X; MURAKAMI Y, 1969, CHEM REGUL PLANTS, V4, P78; MURASHIGE T, 1962, PHYSIOL PLANTARUM, V15, P473, DOI 10.1111/j.1399-3054.1962.tb08052.x; ROBINS MJ, 1967, BIOCHEMISTRY-US, V6, P1837, DOI 10.1021/bi00858a035; SHORT KC, 1972, PLANT PHYSIOL, V49, P155, DOI 10.1104/pp.49.2.155; TORREY JG, 1976, ANNU REV PLANT PHYS, V27, P435, DOI 10.1146/annurev.pp.27.060176.002251; WATANABE N, 1978, PLANT CELL PHYSIOL, V19, P617; YOKOTA T, 1971, PHYTOCHEMISTRY, V10, P2943, DOI 10.1016/S0031-9422(00)97330-8	17	13	13	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0032-0781			PLANT CELL PHYSIOL	Plant Cell Physiol.		1978	19	7					1263	1270				8	Plant Sciences; Cell Biology	Plant Sciences; Cell Biology	FW679	WOS:A1978FW67900018		
J	MIYAZAKI, T; MURAKAMI, S; MORITA, S				MIYAZAKI, T; MURAKAMI, S; MORITA, S			AVERAGE DISTANCE BETWEEN BACTERIOCHLOROPHYLL MOLECULES ON CHROMATOPHORE MEMBRANES OF RHODOPSEUDOMONAS-SPHAEROIDES	PLANT AND CELL PHYSIOLOGY			English	Article									UNIV TOKYO,COLL GEN EDUC,DEPT BIOL,MEGURO KU,TOKYO 153,JAPAN	MIYAZAKI, T (reprint author), UNIV TOKYO,FAC SCI,DEPT BIOPHYS & BIOCHEM,BUNKYO KU,TOKYO 113,JAPAN.						AAGARD J, 1972, PHOTOCHEM PHOTOBIOL, V14, P209; JACKSON JB, 1971, EUR J BIOCHEM, V18, P120, DOI 10.1111/j.1432-1033.1971.tb01222.x; HIGUCHI M, 1963, NATURE, V200, P1191, DOI 10.1038/2001191a0; SAPHON S, 1975, BIOCHIM BIOPHYS ACTA, V408, P58, DOI 10.1016/0005-2728(75)90158-9; BRIL C, 1966, BIOCH BIOPHYS ACTA, V39, P296; Clayton R. K., 1963, BACTERIAL PHOTOSYNTH, P495; CSATORDAY K, 1975, BIOCHIM BIOPHYS ACTA, V376, P268, DOI 10.1016/0005-2728(75)90019-5; DRATZ EA, 1966, BROOKHAVEN SYM BIOL, P303; Forster Th., 1951, FLUORESZENZ ORG VERB; GIBSON KD, 1965, J BACTERIOL, V90, P1059; GOEDHEER JG, 1975, BIOCH BIOPHYS ACTA, V292, P665; KAKUNO T, 1971, J BIOCHEM-TOKYO, V70, P79; MIYAZAKI T, UNPUBLISHED; MORITA S, 1971, BIOCHIM BIOPHYS ACTA, V245, P151, DOI 10.1016/0005-2728(71)90017-X; NISHIMUR.M, 1970, BIOCHIM BIOPHYS ACTA, V197, P69, DOI 10.1016/0005-2728(70)90009-5; ODA T, 1964, EXP CELL RES, V34, P414, DOI 10.1016/0014-4827(64)90379-9; PETERS GA, 1972, J BIOENERGETICS, V3, P349; SUZUKI Y, 1969, BIOCHIM BIOPHYS ACTA, V180, P114, DOI 10.1016/0005-2728(69)90198-4	18	0	0	JAPANESE SOC PLANT PHYSIOLOGISTS	KYOTO	SHIMOTACHIURI OGAWA HIGASHI KAMIKYOKU, KYOTO 602, JAPAN	0032-0781			PLANT CELL PHYSIOL	Plant Cell Physiol.		1978	19	8					1333	1338				6	Plant Sciences; Cell Biology	Plant Sciences; Cell Biology	GE771	WOS:A1978GE77100003		
J	KOIKE, H; SATOH, K; KATOH, S				KOIKE, H; SATOH, K; KATOH, S			EFFECTS OF DIBROMOTHYMOQUINONE AND BATHOPHENANTHROLINE ON FLASH-INDUCED CYTOCHROME F OXIDATION IN SPINACH-CHLOROPLASTS	PLANT AND CELL PHYSIOLOGY			English	Article										KOIKE, H (reprint author), UNIV TOKYO,COLL GEN EDUC,DEPT PURE & APPL SCI,TOKYO 153,JAPAN.						KATOH S, 1962, J BIOCHEM-TOKYO, V51, P32; MALKIN R, 1975, BIOCHEM BIOPH RES CO, V63, P1157, DOI 10.1016/0006-291X(75)90690-7; AVRON M, 1975, BIOENERG PHOTOSYNTH, P373; BERING CL, 1976, BIOCHIM BIOPHYS ACTA, V430, P327, DOI 10.1016/0005-2728(76)90089-X; BIGGINS J, 1973, BIOCHEMISTRY-US, V12, P1165, DOI 10.1021/bi00730a023; BOHME H, 1971, Z NATURFORSCH PT B, VB 26, P341; BOUGESBOCQUET B, 1977, BIOCHIM BIOPHYS ACTA, V462, P362, DOI 10.1016/0005-2728(77)90134-7; CRAMER WA, 1977, ANNU REV PLANT PHYS, V28, P133, DOI 10.1146/annurev.pp.28.060177.001025; DOLAN E, 1974, BIOCHIM BIOPHYS ACTA, V357, P380, DOI 10.1016/0005-2728(74)90028-0; HAEHNEL W, 1973, BIOCHIM BIOPHYS ACTA, V305, P618, DOI 10.1016/0005-2728(73)90081-9; HAEHNEL W, 1977, BIOCHIM BIOPHYS ACTA, V459, P418, DOI 10.1016/0005-2728(77)90043-3; HILDRETH WW, 1968, BIOCHIM BIOPHYS ACTA, V153, P197, DOI 10.1016/0005-2728(68)90160-6; HIYAMA T, 1972, BIOCHIM BIOPHYS ACTA, V267, P160, DOI 10.1016/0005-2728(72)90147-8; KATOH S, 1966, BIOCHEMISTRY COPPER, P407; KATOH S, 1977, PLANT CELL PHYSL, V18, P839; KIMIMURA M, 1973, BIOCHIM BIOPHYS ACTA, V325, P167, DOI 10.1016/0005-2728(73)90162-X; KNAFF DB, 1969, P NATL ACAD SCI USA, V63, P963, DOI 10.1073/pnas.63.3.963; KOIKE H, 1978, 4TH P INT C PHOT, P765; MALKIN R, 1978, BIOCHIM BIOPHYS ACTA, V501, P552, DOI 10.1016/0005-2728(78)90121-4; NISHIMUR.M, 1968, BIOCHIM BIOPHYS ACTA, V153, P838, DOI 10.1016/0005-2728(68)90010-8; SANE PV, 1970, BIOCHIM BIOPHYS ACTA, V216, P162, DOI 10.1016/0005-2728(70)90168-4; SATOH K, 1977, PHOTOSYNTHETIC ORGAN, P75; TREBST A, 1974, ANNU REV PLANT PHYS, V25, P423, DOI 10.1146/annurev.pp.25.060174.002231; TREBST A, 1970, Z NATURFORSCH PT B, VB 25, P1157; VANGORKOM HJ, 1974, 3RD P INT C PHOT, P159; WITT H T, 1971, Quarterly Reviews of Biophysics, V4, P365	26	27	27	JAPANESE SOC PLANT PHYSIOLOGISTS	KYOTO	SHIMOTACHIURI OGAWA HIGASHI KAMIKYOKU, KYOTO 602, JAPAN	0032-0781			PLANT CELL PHYSIOL	Plant Cell Physiol.		1978	19	8					1371	1380				10	Plant Sciences; Cell Biology	Plant Sciences; Cell Biology	GE771	WOS:A1978GE77100007		
J	ATSUMI, S; HAYASHI, T				ATSUMI, S; HAYASHI, T			RELATIONSHIP BETWEEN AUXIN CONCENTRATION, AUXIN PROTECTION AND AUXIN DESTRUCTION IN CROWN GALL CELLS CULTURED INVITRO	PLANT AND CELL PHYSIOLOGY			English	Article										ATSUMI, S (reprint author), UNIV TOKYO,COLL GEN EDUC,DEPT BIOL,MEGURO KU,TOKYO 153,JAPAN.						Thimann KV, 1933, P NATL ACAD SCI USA, V19, P714, DOI 10.1073/pnas.19.7.714; ATSUMI S, 1976, PLANTA, V129, P245, DOI 10.1007/BF00398265; Audus LJ, 1959, PLANT GROWTH SUBSTAN; TANG Y W, 1947, Arch Biochem, V13, P11; BOUILLEN.C, 1970, CAN J BOTANY, V48, P1159; FURUYA M, 1962, NATURE, V193, P456, DOI 10.1038/193456a0; GORTNER WA, 1953, J BIOL CHEM, V204, P593; HAYASHI TOSHIO, 1965, SCI PAPERCOLL CEN EDUC UNIV TOKYO [BIOL PART], V15, P81; HAYASHI T, 1976, Scientific Papers of the College of General Education University of Tokyo (Biological Part), V26, P107; HENDERSON JHM, 1952, AM J BOT, V39, P444, DOI 10.2307/2438327; HOUSLEY S, 1956, J EXP BOT, V7, P219, DOI 10.1093/jxb/7.2.219; KULESCHA Z, 1948, CR HEBD ACAD SCI, V227, P292; LIPETZ J, 1959, AM J BOT, V46, P193, DOI 10.2307/2439277; MORGAN PW, 1963, PLANT PHYSIOL, V38, P365, DOI 10.1104/pp.38.4.365; MUDD JB, 1959, J BIOL CHEM, V234, P3281; MUNFORD FE, 1961, PLANT PHYSL, V36, P752; MURASHIGE T, 1962, PHYSIOL PLANTARUM, V15, P473, DOI 10.1111/j.1399-3054.1962.tb08052.x; STONIER T, 1969, PLANT PHYSIOL, V44, P1169, DOI 10.1104/pp.44.8.1169; STONIER T, 1970, PLANT PHYSIOL, V46, P454, DOI 10.1104/pp.46.3.454; SUMNER J. B., 1943, Arch. Biochem., V2, P291; SYONO K, 1973, PLANT GROWTH SUBSTAN, P1128; VANOVERBEEK J, 1947, AM J BOT, V34, P266, DOI 10.2307/2437705; YONEDA Y, 1967, PLANT PHYSIOL, V42, P1017, DOI 10.1104/pp.42.7.1017	23	7	7	JAPANESE SOC PLANT PHYSIOLOGISTS	KYOTO	SHIMOTACHIURI OGAWA HIGASHI KAMIKYOKU, KYOTO 602, JAPAN	0032-0781			PLANT CELL PHYSIOL	Plant Cell Physiol.		1978	19	8					1391	1397				7	Plant Sciences; Cell Biology	Plant Sciences; Cell Biology	GE771	WOS:A1978GE77100009		
J	MITSUHASHIKATO, M; SHIBAOKA, H; SHIMOKORIYAMA, M				MITSUHASHIKATO, M; SHIBAOKA, H; SHIMOKORIYAMA, M			NATURE OF THE DUAL EFFECT OF AUXIN ON ROOT-FORMATION IN AZUKIA CUTTINGS	PLANT AND CELL PHYSIOLOGY			English	Article									UNIV TOKYO,FAC SCI,DEPT BOT,BUNKYO KU,TOKYO 113,JAPAN; TOKYO METROPOLITAN UNIV,DEPT BIOL,SETAGAYA KU,TOKYO 158,JAPAN							AUDUS LJ, 1956, PLANT GROWTH SUBSTAN; COOPER WILLIAM C., 1938, BOT GAZ, V99, P599, DOI 10.1086/334734; HAISSIG BE, 1970, PLANTA, V95, P27, DOI 10.1007/BF00431118; HAISSIG BE, 1972, PLANT PHYSIOL, V49, P886, DOI 10.1104/pp.49.6.886; MITSUHAS.M, 1969, PLANT CELL PHYSIOL, V10, P715; MITSUHAS.M, 1969, PLANT CELL PHYSIOL, V10, P867; MITSUHASHIKATO M, 1978, PLANT CELL PHYSIOL, V19, P393; MOHAMMED S, 1974, PHYSIOL PLANTARUM, V32, P94, DOI 10.1111/j.1399-3054.1974.tb03733.x; SHIBAOKA H, 1971, PLANT CELL PHYSIOL, V12, P193; Went FW, 1938, PLANT PHYSIOL, V13, P55, DOI 10.1104/pp.13.1.55; Went FW, 1939, AM J BOT, V26, P24, DOI 10.2307/2436506	11	26	26	JAPANESE SOC PLANT PHYSIOLOGISTS	KYOTO	SHIMOTACHIURI OGAWA HIGASHI KAMIKYOKU, KYOTO 602, JAPAN	0032-0781			PLANT CELL PHYSIOL	Plant Cell Physiol.		1978	19	8					1535	1542				8	Plant Sciences; Cell Biology	Plant Sciences; Cell Biology	GE771	WOS:A1978GE77100024		
J	SAKANO, K; KOMAMINE, A				SAKANO, K; KOMAMINE, A			CHANGE IN PROPORTION OF 2 ASPARTOKINASES IN CARROT ROOT-TISSUE IN RESPONSE TO INVITRO CULTURE	PLANT PHYSIOLOGY			English	Article										SAKANO, K (reprint author), UNIV TOKYO,FAC SCI,DEPT BOT,TOKYO 113,JAPAN.						AARNES H, 1974, PHYTOCHEMISTRY, V13, P2717, DOI 10.1016/0031-9422(74)80229-3; AARNES H, 1974, PHYSIOL PLANTARUM, V32, P400, DOI 10.1111/j.1399-3054.1974.tb03159.x; BRYAN PA, 1970, BIOCHEM BIOPH RES CO, V41, P1211, DOI 10.1016/0006-291X(70)90215-9; CHESHIRE RM, 1975, PHYTOCHEMISTRY, V14, P695, DOI 10.1016/0031-9422(75)83016-0; HORROWITZ B, 1970, METHODS ENZYMOL, V17, P726; KOMAMINE A, 1969, PLANT CELL PHYSIOL, V10, P411; KOMAMINE A, 1975, PHYSIOL PLANTARUM, V33, P47, DOI 10.1111/j.1399-3054.1975.tb03763.x; MASTERS M, 1965, P NATL ACAD SCI USA, V54, P64, DOI 10.1073/pnas.54.1.64; MIFLIN BJ, 1977, ANNU REV PLANT PHYS, V28, P299, DOI 10.1146/annurev.pp.28.060177.001503; MURASHIGE T, 1962, PHYSIOL PLANTARUM, V15, P473, DOI 10.1111/j.1399-3054.1962.tb08052.x; PATTE JC, 1967, BIOCHIM BIOPHYS ACTA, V136, P245, DOI 10.1016/0304-4165(67)90069-4; RAVEL JM, 1970, METHODS ENZYMOL A, V17, P722, DOI 10.1016/0076-6879(71)17271-0; SHEWRY PR, 1977, PLANT PHYSIOL, V59, P69, DOI 10.1104/pp.59.1.69; STADTMAN ER, 1961, J BIOL CHEM, V236, P2033; TRUFFABACHI P, 1973, ENZYME, V3, P509; WONG KF, 1973, PLANT PHYSIOL, V51, P327, DOI 10.1104/pp.51.2.327; WONG KF, 1973, PLANT PHYSIOL, V51, P322, DOI 10.1104/pp.51.2.322	17	21	21	AMER SOC PLANT PHYSIOLOGISTS	ROCKVILLE	15501 MONONA DRIVE, ROCKVILLE, MD 20855	0032-0889			PLANT PHYSIOL	Plant Physiol.		1978	61	1					115	118		10.1104/pp.61.1.115		4	Plant Sciences	Plant Sciences	EK143	WOS:A1978EK14300026		
J	WATANABE, M; FURUYA, M				WATANABE, M; FURUYA, M			PHOTOTACTIC RESPONSES OF CELL-POPULATION TO REPEATED PULSES OF YELLOW LIGHT IN A PHYTOFLAGELLATE CRYPTOMONAS-SP	PLANT PHYSIOLOGY			English	Article										WATANABE, M (reprint author), UNIV TOKYO,FAC SCI,DEPT BOT,TOKYO 113,JAPAN.						Emerson R, 1932, J GEN PHYSIOL, V15, P391, DOI 10.1085/jgp.15.4.391; DIEHN B, 1969, EXP CELL RES, V56, P375, DOI 10.1016/0014-4827(69)90027-5; DIEHN B, 1976, PHOTOCHEM PHOTOBIOL, V23, P455, DOI 10.1111/j.1751-1097.1976.tb07280.x; FEINLEIB ME, 1975, PHOTOCHEM PHOTOBIOL, V21, P351, DOI 10.1111/j.1751-1097.1975.tb06683.x; FEINLEIB ME, 1971, PHYSIOL PLANTARUM, V25, P346, DOI 10.1111/j.1399-3054.1971.tb01453.x; HAUPT WOLFGANG, 1966, INT REV CYTOL, V19, P267; INOUE Y, 1975, PLANT PHYSIOL, V55, P1098, DOI 10.1104/pp.55.6.1098; Van de Grind W., 1973, HDB SENSORY PHYSL, VVII, P431; WADA M, 1974, PHYSIOL PLANTARUM, V32, P377, DOI 10.1111/j.1399-3054.1974.tb03155.x; WATANABE M, 1976, PLANT CELL PHYSIOL, V17, P683; WATANABE M, 1974, PLANT CELL PHYSIOL, V15, P413	11	18	18	AMER SOC PLANT PHYSIOLOGISTS	ROCKVILLE	15501 MONONA DRIVE, ROCKVILLE, MD 20855	0032-0889			PLANT PHYSIOL	Plant Physiol.		1978	61	5					816	818		10.1104/pp.61.5.816		3	Plant Sciences	Plant Sciences	EZ635	WOS:A1978EZ63500023		
J	INOUE, Y; FURUYA, M				INOUE, Y; FURUYA, M			PERITHECIAL FORMATION IN GELASINOSPORA-RETICULISPORA .6. INDUCTIVE EFFECT OF MICROBEAM IRRADIATION WITH BLUE-LIGHT	PLANTA			English	Article										INOUE, Y (reprint author), UNIV TOKYO,FAC SCI,DEPT BOT,BUNKYO KU,TOKYO 113,JAPAN.						Ryan FJ, 1943, AM J BOT, V30, P784, DOI 10.2307/2437554; GALUN E, 1971, PLANT CELL PHYSIOL, V12, P779; INOUE V, 1970, DEV GROWTH DIFFER, V12, P141; INOUE Y, 1974, PLANT CELL PHYSIOL, V15, P469; INOUE Y, 1975, PLANT PHYSIOL, V55, P1098, DOI 10.1104/pp.55.6.1098; INOUE Y, 1975, BOT MAG TOKYO, V88, P31, DOI 10.1007/BF02498878; INOUE Y, 1974, PLANT CELL PHYSIOL, V15, P195; WADA M, 1978, PLANTA, V138, P85, DOI 10.1007/BF00392921	8	3	3	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0032-0935			PLANTA	Planta		1978	143	3					255	259		10.1007/BF00391995		5	Plant Sciences	Plant Sciences	FY146	WOS:A1978FY14600003		
J	NAGATA, T; MELCHERS, G				NAGATA, T; MELCHERS, G			SURFACE-CHARGE OF PROTOPLASTS AND THEIR SIGNIFICANCE IN CELL-CELL INTERACTION	PLANTA			English	Article									UNIV TOKYO,DEPT PURE & APPL SCI,MEGURO KU,TOKYO 153,JAPAN	NAGATA, T (reprint author), MAX PLANCK INST BIOL,CORRENSSTR 45,D-7400 TUBINGEN,FED REP GER.						KAO KN, 1974, PLANTA, V115, P355, DOI 10.1007/BF00388618; NAGATA T, 1971, PLANTA, V99, P12, DOI 10.1007/BF00392116; BANGHAM AD, 1958, NATURE, V182, P642, DOI 10.1038/182642a0; CURTIS ASG, 1960, AM NAT, V94, P37, DOI 10.1086/282107; GROUT BWW, 1972, J BIOENERGETICS, V4, P311; HIBI T, 1975, VIROLOGY, V64, P308, DOI 10.1016/0042-6822(75)90107-5; JONES WN, 1975, BIOL INTERFACES; KELLER WA, 1973, Z NATURFORSCH C, VC 28, P737; Mehrishi J N, 1972, Prog Biophys Mol Biol, V25, P1, DOI 10.1016/0079-6107(72)90013-2; MELCHERS G, 1977, INT CELL BIOL 1976 1, P207; OKUNO T, 1977, PHYTOPATHOLOGY, V67, P610; SARKAR S, 1974, MOL GEN GENET, V135, P1, DOI 10.1007/BF00433895; TAKEBE I, 1968, PLANT CELL PHYSIOL, V9, P115; TAKEBE I, 1969, P NATL ACAD SCI USA, V64, P843, DOI 10.1073/pnas.64.3.843; WALLIN A, 1974, Z PFLANZENPHYSIOL, V74, P64	15	62	63	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0032-0935			PLANTA	Planta		1978	142	2					235	238		10.1007/BF00388219		4	Plant Sciences	Plant Sciences	FQ959	WOS:A1978FQ95900017		
